GENESIS-Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;
Deutschland;;;
;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto)
;;MWh;MWh
2007;Kohlenwertstoffe aus Steinkohle;-;-
2007;Sonstige Steinkohlen;-;-
2007;Rohbraunkohlen;150681562;138564709
2007;Hartbraunkohlen;73464;60274
2007;Braunkohlenbriketts;56831;50551
2007;Braunkohlenkoks;2329;1716
2007;Wirbelschichtkohle;336465;281454
2007;Staub- und Trockenkohle;504190;447221
2007;Sonstige Braunkohlen;173838;164761
2007;Dieselkraftstoff;7791;6792
2007;Heizöl, leicht;540439;490084
2007;Heizöl, schwer;588657;544145
2007;Flüssiggas;-;-
2007;Raffineriegas;-;-
2007;Petrolkoks;254955;236987
2007;Sonstige Mineralölprodukte;1302347;1192742
2007;Erdgas, Erdölgas;58072574;56256917
2007;Grubengas;542972;501313
2007;Kokereigas;691978;646144
2007;Hochofengas;2764861;2572847
2007;Sonstige hergestellte Gase;137528;126382
2007;Wasserstoff;-;-
2007;Laufwasser;16162534;15823968
2007;Speicherwasser;711286;705428
2007;Pumpspeicherwasser;7554235;7439545
2007;Pumpspeicher mit natürlichem Zufluss;-;-
2007;Pumpspeicher ohne natürlichen Zufluss;-;-
2007;Windkraft;443150;442073
2007;Photovoltaik;5543;5529
2007;Geothermie;-;-
2007;Wärmepumpen (Erd- und Umweltwärme);-;-
2007;Solarthermie;-;-
2007;Feste biogene Stoffe;2276373;2100074
2007;Flüssige biogene Stoffe;59913;57461
2007;Biogas;43932;41388
2007;Biomethan (Bioerdgas);-;-
2007;Klärgas;26271;25413
2007;Deponiegas;177837;169711
2007;Sonstige erneuerbare Energien;22242;20828
2007;Klärschlamm;149243;136932
2007;Abfall (Hausmüll, Industrie);8259887;6398662
2007;Abfall (Industrie);-;-
2007;Abfall (Hausmüll, Siedlungsabfälle);-;-
2007;Kernenergie;140534043;133229497
2007;Wärme;-;-
2007;Strom (Elektrokessel);-;-
2007;Sonstige Energieträger;526882;496684
2007;Andere Speicher;-;-
2007;Insgesamt;522781498;488369371
2008;Steinkohlen;114885388;105713575
2008;Steinkohlenkoks;-;-
2008;Steinkohlenbriketts;-;-
2008;Kohlenwertstoffe aus Steinkohle;-;-
2008;Sonstige Steinkohlen;-;-
2008;Rohbraunkohlen;146440892;134498393
2008;Hartbraunkohlen;94346;78569
2008;Braunkohlenbriketts;34217;29629
2008;Braunkohlenkoks;2106;1561
2008;Wirbelschichtkohle;335614;280874
2008;Staub- und Trockenkohle;556092;501643
2008;Sonstige Braunkohlen;290574;274164
2008;Dieselkraftstoff;7500;6730
2008;Heizöl, leicht;507289;462417
2008;Heizöl, schwer;573306;529916
2008;Flüssiggas;-;-
2008;Raffineriegas;-;-
2008;Petrolkoks;462020;426545
2008;Sonstige Mineralölprodukte;1322503;1211524
2008;Erdgas, Erdölgas;68985670;66936721
2008;Grubengas;404855;387442
2008;Kokereigas;552326;515282
2008;Hochofengas;2453368;2280769
2008;Sonstige hergestellte Gase;24068;24068
2008;Wasserstoff;-;-
2008;Laufwasser;15672890;15383158
2008;Speicherwasser;809692;802455
2008;Pumpspeicherwasser;6521038;6415566
2008;Pumpspeicher mit natürlichem Zufluss;-;-
2008;Pumpspeicher ohne natürlichen Zufluss;-;-
2008;Windkraft;462230;459917
2008;Photovoltaik;7306;7306
2008;Geothermie;17325;12078
2008;Wärmepumpen (Erd- und Umweltwärme);-;-
2008;Solarthermie;-;-
2008;Feste biogene Stoffe;2876040;2635183
2008;Flüssige biogene Stoffe;53947;52248
2008;Biogas;58691;56019
2008;Biomethan (Bioerdgas);-;-
2008;Klärgas;29085;27483
2008;Deponiegas;160309;153170
2008;Sonstige erneuerbare Energien;434;434
2008;Klärschlamm;142462;130660
2008;Abfall (Hausmüll, Industrie);8978515;7049002
2008;Abfall (Industrie);-;-
2008;Abfall (Hausmüll, Siedlungsabfälle);-;-
2008;Kernenergie;148495245;140710087
2008;Wärme;-;-
2008;Strom (Elektrokessel);-;-
2008;Sonstige Energieträger;560685;526695
2008;Andere Speicher;-;-
2008;Insgesamt;522778029;488581284
2009;Steinkohlen;99856803;91653533
2009;Steinkohlenkoks;-;-
2009;Steinkohlenbriketts;-;-
2009;Kohlenwertstoffe aus Steinkohle;-;-
2009;Sonstige Steinkohlen;-;-
2009;Rohbraunkohlen;142458893;130991918
2009;Hartbraunkohlen;10247;8567
2009;Braunkohlenbriketts;22067;19409
2009;Braunkohlenkoks;1914;1444
2009;Wirbelschichtkohle;239618;196987
2009;Staub- und Trockenkohle;314561;275589
2009;Sonstige Braunkohlen;167124;157465
2009;Dieselkraftstoff;1683;1549
2009;Heizöl, leicht;522040;474549
2009;Heizöl, schwer;589551;538658
2009;Flüssiggas;12;12
2009;Raffineriegas;-;-
2009;Petrolkoks;765742;705991
2009;Sonstige Mineralölprodukte;1617856;1477066
2009;Erdgas, Erdölgas;59481233;57599005
2009;Grubengas;375202;369769
2009;Kokereigas;411747;383720
2009;Hochofengas;1347407;1241735
2009;Sonstige hergestellte Gase;26124;26124
2009;Wasserstoff;-;-
2009;Laufwasser;14647873;14373719
2009;Speicherwasser;747246;740526
2009;Pumpspeicherwasser;6049476;5925453
2009;Pumpspeicher mit natürlichem Zufluss;-;-
2009;Pumpspeicher ohne natürlichen Zufluss;-;-
2009;Windkraft;449581;448286
2009;Photovoltaik;20704;20704
2009;Geothermie;13552;9482
2009;Wärmepumpen (Erd- und Umweltwärme);-;-
2009;Solarthermie;-;-
2009;Feste biogene Stoffe;3195719;2898048
2009;Flüssige biogene Stoffe;61369;58202
2009;Biogas;111150;106539
2009;Biomethan (Bioerdgas);-;-
2009;Klärgas;32774;30188
2009;Deponiegas;126844;114831
2009;Sonstige erneuerbare Energien;426;426
2009;Klärschlamm;150160;136941
2009;Abfall (Hausmüll, Industrie);9352548;7283341
2009;Abfall (Industrie);1079469;867999
2009;Abfall (Hausmüll, Siedlungsabfälle);8273079;6415342
2009;Kernenergie;134932034;127690281
2009;Wärme;-;-
2009;Strom (Elektrokessel);-;-
2009;Sonstige Energieträger;538782;507018
2009;Andere Speicher;-;-
2009;Insgesamt;478640061;446467075
2010;Steinkohlen;108403830;99705955
2010;Steinkohlenkoks;-;-
2010;Steinkohlenbriketts;-;-
2010;Kohlenwertstoffe aus Steinkohle;-;-
2010;Sonstige Steinkohlen;-;-
2010;Rohbraunkohlen;141459454;130429246
2010;Hartbraunkohlen;-;-
2010;Braunkohlenbriketts;23734;20922
2010;Braunkohlenkoks;1559;1173
2010;Wirbelschichtkohle;382877;327134
2010;Staub- und Trockenkohle;134590;122999
2010;Sonstige Braunkohlen;29103;27431
2010;Dieselkraftstoff;2294;2057
2010;Heizöl, leicht;547108;495363
2010;Heizöl, schwer;600059;555281
2010;Flüssiggas;24;24
2010;Raffineriegas;-;-
2010;Petrolkoks;107738;101013
2010;Sonstige Mineralölprodukte;1630450;1491182
2010;Erdgas, Erdölgas;64963290;63091283
2010;Grubengas;386887;381784
2010;Kokereigas;512866;476601
2010;Hochofengas;2610581;2408477
2010;Sonstige hergestellte Gase;30103;30103
2010;Wasserstoff;-;-
2010;Laufwasser;16002093;15758649
2010;Speicherwasser;699252;691834
2010;Pumpspeicherwasser;6928750;6799167
2010;Pumpspeicher mit natürlichem Zufluss;-;-
2010;Pumpspeicher ohne natürlichen Zufluss;-;-
2010;Windkraft;420703;419334
2010;Photovoltaik;17436;17435
2010;Geothermie;16494;11858
2010;Wärmepumpen (Erd- und Umweltwärme);-;-
2010;Solarthermie;-;-
2010;Feste biogene Stoffe;3620581;3278135
2010;Flüssige biogene Stoffe;46932;44073
2010;Biogas;202335;196748
2010;Biomethan (Bioerdgas);-;-
2010;Klärgas;32346;29387
2010;Deponiegas;100350;89394
2010;Sonstige erneuerbare Energien;442;442
2010;Klärschlamm;160591;145977
2010;Abfall (Hausmüll, Industrie);10175079;8020179
2010;Abfall (Industrie);1287406;1034237
2010;Abfall (Hausmüll, Siedlungsabfälle);8887673;6985942
2010;Kernenergie;140556453;132970651
2010;Wärme;-;-
2010;Strom (Elektrokessel);-;-
2010;Sonstige Energieträger;524848;487452
2010;Andere Speicher;-;-
2010;Insgesamt;501331232;468628742
2011;Steinkohlen;104856166;96498708
2011;Steinkohlenkoks;-;-
2011;Steinkohlenbriketts;-;-
2011;Kohlenwertstoffe aus Steinkohle;-;-
2011;Sonstige Steinkohlen;-;-
2011;Rohbraunkohlen;145474852;134056254
2011;Hartbraunkohlen;-;-
2011;Braunkohlenbriketts;31624;27693
2011;Braunkohlenkoks;6641;5068
2011;Wirbelschichtkohle;591359;518777
2011;Staub- und Trockenkohle;173018;160005
2011;Sonstige Braunkohlen;-;-
2011;Dieselkraftstoff;2640;2432
2011;Heizöl, leicht;524410;477113
2011;Heizöl, schwer;462887;428810
2011;Flüssiggas;24;24
2011;Raffineriegas;-;-
2011;Petrolkoks;33373;30594
2011;Sonstige Mineralölprodukte;800128;729249
2011;Erdgas, Erdölgas;61598067;59760963
2011;Grubengas;398047;393635
2011;Kokereigas;431380;403312
2011;Hochofengas;2504770;2329829
2011;Sonstige hergestellte Gase;29367;28168
2011;Wasserstoff;-;-
2011;Laufwasser;13764968;13441781
2011;Speicherwasser;535739;532653
2011;Pumpspeicherwasser;6245567;6099241
2011;Pumpspeicher mit natürlichem Zufluss;-;-
2011;Pumpspeicher ohne natürlichen Zufluss;-;-
2011;Windkraft;-;-
2011;Photovoltaik;-;-
2011;Geothermie;10243;10243
2011;Wärmepumpen (Erd- und Umweltwärme);-;-
2011;Solarthermie;-;-
2011;Feste biogene Stoffe;4034615;3628110
2011;Flüssige biogene Stoffe;8453;7550
2011;Biogas;299766;292323
2011;Biomethan (Bioerdgas);-;-
2011;Klärgas;32921;30332
2011;Deponiegas;75227;71212
2011;Sonstige erneuerbare Energien;520;520
2011;Klärschlamm;136317;124670
2011;Abfall (Hausmüll, Industrie);10529366;8353124
2011;Abfall (Industrie);1428821;1141420
2011;Abfall (Hausmüll, Siedlungsabfälle);9100545;7211704
2011;Kernenergie;107971228;102240621
2011;Wärme;270483;259051
2011;Strom (Elektrokessel);-;-
2011;Sonstige Energieträger;267907;240325
2011;Andere Speicher;-;-
2011;Insgesamt;462102068;431182390
2012;Steinkohlen;115347734;105829825
2012;Steinkohlenkoks;-;-
2012;Steinkohlenbriketts;-;-
2012;Kohlenwertstoffe aus Steinkohle;-;-
2012;Sonstige Steinkohlen;-;-
2012;Rohbraunkohlen;153543991;141867568
2012;Hartbraunkohlen;-;-
2012;Braunkohlenbriketts;34609;30708
2012;Braunkohlenkoks;.;.
2012;Wirbelschichtkohle;670946;594334
2012;Staub- und Trockenkohle;201542;183844
2012;Sonstige Braunkohlen;-;-
2012;Dieselkraftstoff;2021;1933
2012;Heizöl, leicht;533875;486862
2012;Heizöl, schwer;447183;412889
2012;Flüssiggas;.;.
2012;Raffineriegas;-;-
2012;Petrolkoks;.;.
2012;Sonstige Mineralölprodukte;1375208;1251192
2012;Erdgas, Erdölgas;51448794;49867958
2012;Grubengas;345198;341172
2012;Kokereigas;.;.
2012;Hochofengas;.;.
2012;Sonstige hergestellte Gase;.;.
2012;Wasserstoff;-;-
2012;Laufwasser;16925429;16585896
2012;Speicherwasser;804633;800037
2012;Pumpspeicherwasser;-;-
2012;Pumpspeicher mit natürlichem Zufluss;560235;544428
2012;Pumpspeicher ohne natürlichen Zufluss;6094416;5941046
2012;Windkraft;-;-
2012;Photovoltaik;-;-
2012;Geothermie;.;.
2012;Wärmepumpen (Erd- und Umweltwärme);-;-
2012;Solarthermie;-;-
2012;Feste biogene Stoffe;3990884;3586681
2012;Flüssige biogene Stoffe;.;.
2012;Biogas;574907;557435
2012;Biomethan (Bioerdgas);-;-
2012;Klärgas;41562;38487
2012;Deponiegas;73956;70593
2012;Sonstige erneuerbare Energien;.;.
2012;Klärschlamm;123669;113258
2012;Abfall (Hausmüll, Industrie);-;-
2012;Abfall (Industrie);1340490;1074009
2012;Abfall (Hausmüll, Siedlungsabfälle);9439875;7520808
2012;Kernenergie;99460199;94180287
2012;Wärme;316685;305705
2012;Strom (Elektrokessel);-;-
2012;Sonstige Energieträger;241330;215848
2012;Andere Speicher;-;-
2012;Insgesamt;467227654;435448764
2013;Steinkohlen;120700847;110723985
2013;Steinkohlenkoks;-;-
2013;Steinkohlenbriketts;-;-
2013;Kohlenwertstoffe aus Steinkohle;-;-
2013;Sonstige Steinkohlen;-;-
2013;Rohbraunkohlen;156102741;145121600
2013;Hartbraunkohlen;.;.
2013;Braunkohlenbriketts;78252;70221
2013;Braunkohlenkoks;.;.
2013;Wirbelschichtkohle;.;.
2013;Staub- und Trockenkohle;215292;194947
2013;Sonstige Braunkohlen;-;-
2013;Dieselkraftstoff;636;588
2013;Heizöl, leicht;618462;566103
2013;Heizöl, schwer;458624;420833
